Timestamp,Email,First Name ,Last Name,,Block 1,Block 2,Block 3,Block 4
21-Mar,example1,a,z,,1 - Mass Incarceration,,,
22-Mar,example2,b,y,,1 - Mass Incarceration,,,
23-Mar,example3,c,x,,1 - Mass Incarceration,,,
24-Mar,example4,d,z,,1 - Mass Incarceration,,,
25-Mar,example5,e,y,,1 - Mass Incarceration,,,
26-Mar,example6,f,x,,1 - Mass Incarceration,,,
27-Mar,example7,g,z,,1 - Mass Incarceration,,,
28-Mar,example8,h,y,,1 - Mass Incarceration,,,
29-Mar,example9,i,x,,1 - Mass Incarceration,,,
30-Mar,example10,j,z,,1 - Mass Incarceration,,,
31-Mar,example11,k,y,,1 - Mass Incarceration,,,
1-Apr,example12,l,x,,1 - Mass Incarceration,,,
2-Apr,example13,m,z,,1 - Mass Incarceration,,,
3-Apr,example14,n,y,,1 - Mass Incarceration,,,
4-Apr,example15,o,x,,1 - Mass Incarceration,,,
5-Apr,example16,p,z,,1 - Mass Incarceration,,,
6-Apr,example17,q,y,,1 - Mass Incarceration,,,
7-Apr,example18,r,x,,1 - Gratitude is the Attitude,,,
8-Apr,example19,x,z,,1 - Gratitude is the Attitude,,,
9-Apr,example20,t,y,,1 - Gratitude is the Attitude,,,
10-Apr,example21,u,x,,1 - Gratitude is the Attitude,,,
11-Apr,example22,v,z,,1 - Gratitude is the Attitude,,,
12-Apr,example23,w,y,,1 - Gratitude is the Attitude,,,
13-Apr,example24,x,x,,1 - Gratitude is the Attitude,,,
14-Apr,example25,y,z,,1 - Gratitude is the Attitude,,,
15-Apr,example26,z,y,,1 - Gratitude is the Attitude,,,
16-Apr,example27,a,x,,1 - Gratitude is the Attitude,,,
17-Apr,example28,b,z,,1 - Gratitude is the Attitude,,,
18-Apr,example29,c,y,,1 - Gratitude is the Attitude,,,
19-Apr,example30,d,x,,1 - Gratitude is the Attitude,,,
20-Apr,example31,e,z,,1 - Gratitude is the Attitude,,,
21-Apr,example32,f,y,,1 - Gratitude is the Attitude,,,
22-Apr,example33,g,x,,1 - Gratitude is the Attitude,,,
23-Apr,example34,h,z,,1 - Gratitude is the Attitude,,,
24-Apr,example35,i,y,,1 - Gratitude is the Attitude,,,
25-Apr,example36,j,x,,1 - Gratitude is the Attitude,,,
26-Apr,example37,k,z,,1 - Example Session,,,
27-Apr,example38,l,y,,1 - Example Session,,,
28-Apr,example39,m,x,,1 - Example Session,,,
29-Apr,example40,n,z,,1 - Example Session,,,
30-Apr,example41,o,y,,1 - Example Session,,,
1-May,example42,p,x,,1 - Example Session,,,
2-May,example43,q,z,,1 - Example Session,,,
3-May,example44,r,y,,1 - Example Session,,,
4-May,example45,x,x,,1 - Example Session,,,
5-May,example46,t,z,,1 - Example Session,,,
6-May,example47,u,y,,1 - Example Session,,,
7-May,example48,v,x,,1 - Example Session,,,
8-May,example49,w,z,,1 - Example Session,,,
9-May,example50,x,y,,1 - Example Session,,,
10-May,example51,y,x,,1 - Example Session,,,
11-May,example52,z,z,,1 - Example Session,,,
12-May,example53,a,y,,1 - Example Session,,,
